Academic Year,TAP Sector Group,Scholarship Name,Scholarship Headcount,Scholarship FTE,Scholarship Dollars
2017,1-CUNY SR,Enhanced Tuition Awards,8,4.00,4533.00
2017,5-INDEPENDENT,Flight 3407 Memorial Scholarship,1,1.00,14568.00
2017,2-CUNY CC,Flight 587 Memorial Scholarship,1,0.50,6273.00
2017,3-SUNY SO,Flight 587 Memorial Scholarship,5,4.50,84352.00
2017,5-INDEPENDENT,Flight 587 Memorial Scholarship,5,4.50,74950.00
2017,1-CUNY SR,Flight 587 Memorial Scholarship,2,2.00,24008.20
2017,2-CUNY CC,Military Service Recognition Scholarship,2,1.50,13390.50
2017,6-BUS. DEGREE,Military Service Recognition Scholarship,4,2.33,31532.90
2017,1-CUNY SR,Military Service Recognition Scholarship,5,4.50,51048.75
2017,3-SUNY SO,Military Service Recognition Scholarship,53,48.00,932729.34
2017,5-INDEPENDENT,Military Service Recognition Scholarship,37,39.50,694101.29
2017,4-SUNY CC,Military Service Recognition Scholarship,14,12.75,162461.60
2017,3-SUNY SO,NYS Achievement and Investment In Merit Scholarship,722,667.00,333500.00
2017,5-INDEPENDENT,NYS Achievement and Investment In Merit Scholarship,1183,1142.38,572187.56
2017,4-SUNY CC,NYS Achievement and Investment In Merit Scholarship,33,25.50,12750.00
2017,1-CUNY SR,NYS Achievement and Investment In Merit Scholarship,108,99.00,49500.00
2017,2-CUNY CC,NYS Achievement and Investment In Merit Scholarship,1,1.00,500.00
2017,3-SUNY SO,NYS Masters-In-Education Teacher Incentive Scholarship,58,47.00,441751.25
2017,1-CUNY SR,NYS Masters-In-Education Teacher Incentive Scholarship,10,10.00,90015.00
2017,3-SUNY SO,NYS Math and Science Teacher Incentive Scholarship,51,49.50,319817.50
2017,5-INDEPENDENT,NYS Math and Science Teacher Incentive Scholarship,34,31.50,202598.01
2017,1-CUNY SR,NYS Math and Science Teacher Incentive Scholarship,6,6.00,36185.20
2017,4-SUNY CC,NYS Math and Science Teacher Incentive Scholarship,1,0.50,44.50
2017,2-CUNY CC,NYS Math and Science Teacher Incentive Scholarship,1,1.00,6470.00
2017,3-SUNY SO,"NYS Memorial Scholarships for Families of Deceased Firefighters, Volunteer Firefighters, Police Officers, Peace Officers and Emergency Medical Service Workers",12,11.50,233300.00
2017,6-BUS. DEGREE,"NYS Memorial Scholarships for Families of Deceased Firefighters, Volunteer Firefighters, Police Officers, Peace Officers and Emergency Medical Service Workers",1,1.00,17966.68
2017,5-INDEPENDENT,"NYS Memorial Scholarships for Families of Deceased Firefighters, Volunteer Firefighters, Police Officers, Peace Officers and Emergency Medical Service Workers",24,23.00,481742.50
2017,4-SUNY CC,"NYS Memorial Scholarships for Families of Deceased Firefighters, Volunteer Firefighters, Police Officers, Peace Officers and Emergency Medical Service Workers",6,4.00,55951.10
2017,4-SUNY CC,NYS Part-time Scholarship Award Program,292,221.25,512293.00
2017,2-CUNY CC,NYS Part-time Scholarship Award Program,15,11.00,28334.00
2017,3-SUNY SO,NYS Regents Awards for Children of Deceased and Disabled Veterans,207,182.25,82012.50
2017,6-BUS. DEGREE,NYS Regents Awards for Children of Deceased and Disabled Veterans,6,4.00,1800.00
2017,1-CUNY SR,NYS Regents Awards for Children of Deceased and Disabled Veterans,13,10.00,4500.00
2017,5-INDEPENDENT,NYS Regents Awards for Children of Deceased and Disabled Veterans,133,121.25,54562.50
2017,4-SUNY CC,NYS Regents Awards for Children of Deceased and Disabled Veterans,89,72.00,32400.00
2017,2-CUNY CC,NYS Regents Awards for Children of Deceased and Disabled Veterans,7,4.50,2025.00
2017,8-OTHER,NYS Regents Awards for Children of Deceased and Disabled Veterans,1,0.50,225.00
2017,6-BUS. DEGREE,NYS Scholarships for Academic Excellence,68,73.83,45080.01
2017,5-INDEPENDENT,NYS Scholarships for Academic Excellence,6252,5908.50,4430500.52
2017,4-SUNY CC,NYS Scholarships for Academic Excellence,443,371.50,271750.00
2017,2-CUNY CC,NYS Scholarships for Academic Excellence,173,132.00,96500.00
2017,1-CUNY SR,NYS Scholarships for Academic Excellence,2373,2093.92,1504957.50
2017,3-SUNY SO,NYS Scholarships for Academic Excellence,4547,4250.00,3061750.00
2017,4-SUNY CC,"NYS Science, Technology, Engineering and Mathematics Incentive Program",34,25.00,106651.50
2017,2-CUNY CC,"NYS Science, Technology, Engineering and Mathematics Incentive Program",2,1.50,6700.00
2017,1-CUNY SR,"NYS Science, Technology, Engineering and Mathematics Incentive Program",116,106.50,547349.90
2017,3-SUNY SO,"NYS Science, Technology, Engineering and Mathematics Incentive Program",2066,1966.00,12092887.57
2017,5-INDEPENDENT,NYS World Trade Center Memorial Scholarship,422,401.75,7879678.16
2017,4-SUNY CC,NYS World Trade Center Memorial Scholarship,76,59.50,757822.50
2017,2-CUNY CC,NYS World Trade Center Memorial Scholarship,9,7.50,77623.70
